seed,draw,mean_type,success,optimizer_success,status,loglik,AIC,BIC,stored_loglik,stored_AIC,stored_BIC,corrected_loglik,corrected_AIC,corrected_BIC,corrected_loglik_delta,selection_eligible,selection_reason,selection_shape_reference,selection_high_shape_density,selection_loglik_upper_threshold,selection_loglik_plausible,selection_bounds_ok,selection_constraints_ok,selection_mean_stationary,selection_implied_variance_bounds_ok,selection_recursion_init_p,selection_recursion_init_n,selection_shape_max,selection_max_p_t,selection_max_n_t,selection_sigma_min,selection_persistence_p,selection_persistence_n,selection_cond_var_min,selection_cond_var_median,selection_cond_var_max,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95,selection_cond_var_lower_min,selection_cond_var_lower_max,selection_cond_var_upper_min,selection_cond_var_upper_max
1,1,"ARX(1,1)",True,True,0,-171.69617877842546,365.3923575568509,402.46937586625523,-171.69617877844286,365.3923575568857,402.46937586629,-171.69617877842546,365.3923575568509,402.46937586625523,1.7394086171407253e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,153.6563660046389,153.6563660046389,14.78357973945886,0.1173084856965516,0.8512277598363537,0.6180409071501303,0.15632884996883836,0.2515207722580133,10.324861167596714,8.98285242143515,11.823399648886692,60.77431906035902,0.04755468945121824,0.05235166158528533,0.6916114446912563,0.15916030789108115,1.1677695461638788,-0.7487421338587834,-0.024398659404667154,0.12868441902087396,0.14565788319951775,0.18552765562307014,1.9500682068001773,9.436659623020302e-08,1.408134624630628e-06,94366.59623020302,1408134.6246306282
1,2,"ARX(1,1)",True,True,0,-170.5481152443661,363.0962304887322,400.1732487981365,-170.54811524433833,363.0962304886767,400.173248798081,-170.5481152443661,363.0962304887322,400.1732487981365,-2.7768010113504715e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,52.68152793474012,52.68152793474012,12.57182415474818,0.1665837310933324,0.8735825983461476,0.5444423760044462,0.1734996260775924,0.26291340860041595,9.048829593281242,4.182745857166837,5.860658431363756,26.82869063823267,0.08342859137611895,0.08846135985071145,0.637058925695073,0.17911737428782237,1.0828876632882138,-0.6804308123418028,-0.056766558107114964,0.1397404954994405,0.26742758752307233,0.3163941368668053,1.9279162450939888,9.439526410721972e-08,1.4209574515679586e-06,94395.26410721971,1420957.4515679586
1,3,"ARX(1,1)",True,True,0,-170.5481140151998,363.0962280303996,400.1732463398039,-170.5481140151603,363.0962280303206,400.1732463397249,-170.5481140151998,363.0962280303996,400.1732463398039,-3.9477754398831166e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,52.635164872151115,52.635164872151115,12.612349735958619,0.1665563092856097,0.8737561689654108,0.5431250182488202,0.17333515792005694,0.26256057910417774,9.030294525986859,4.182385784902346,5.862904438433334,26.812728963855413,0.08372453980910982,0.08876098352630524,0.639319736115239,0.17896248733224096,1.0823538370518158,-0.6770692506860185,-0.05634079793233342,0.14001749255876966,0.2656549542139172,0.31437344932338784,1.9142069225186955,9.439177503265998e-08,1.4209898766985194e-06,94391.77503265998,1420989.8766985193
1,4,"ARX(1,1)",True,True,0,-174.35369811588936,370.7073962317787,407.784414541183,-174.3536981151749,370.7073962303498,407.7844145397541,-174.35369811588936,370.7073962317787,407.784414541183,-7.144649316614959e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,35.90574400515624,35.90574400515624,23.22876452827512,0.211815099113359,0.6988658704630348,0.25829780949244563,0.19383812056225497,0.2456367438118984,4.655680561622924,3.180849566323906,3.701841382651954,13.785764881729607,0.26655259607212684,0.26946023650317297,1.4045306118529783,0.1958909536599683,0.7244407088460446,-0.16316600792666258,0.018562142566092392,0.20682819975028782,0.09851541573196566,0.1228371929662867,0.36697267624766733,9.946613582901298e-08,1.5137421865973354e-06,99466.13582901299,1513742.1865973356
1,5,"ARX(1,1)",True,True,0,-170.54811673710714,363.0962334742143,400.1732517836186,-170.54811673717705,363.0962334743541,400.1732517837584,-170.54811673710714,363.0962334742143,400.1732517836186,6.991740519879386e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,52.64416630008561,52.64416630008561,12.585173621269249,0.1666723464690488,0.8733981287915409,0.5450188700641088,0.17354692885221634,0.26303117628721456,9.060988352968883,4.178965828561709,5.8543445271828425,26.79798861430113,0.08343694561156287,0.0884774671589024,0.6378305054438634,0.17916254883054086,1.0829733207769685,-0.6814897493274836,-0.056797837174724475,0.139732215164313,0.2676406592748856,0.31669625177674054,1.931265305442626,9.439249465307803e-08,1.4209992484405163e-06,94392.49465307803,1420999.2484405162
1,6,"ARX(1,1)",True,True,0,-171.8308693427348,365.6617386854696,402.7387569948739,-171.83086934263696,365.6617386852739,402.7387569946782,-171.8308693427348,365.6617386854696,402.7387569948739,-9.78275238594506e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,133.81884530673867,133.81884530673867,12.23752284871381,0.1338768831179004,0.8869682226956788,0.8693779074285225,0.15359174786480578,0.26659584960542754,14.415527652189953,6.450779011438972,8.806796336560195,52.93783905316176,0.032640219028063765,0.03626880445779914,0.548144868032536,0.15785230891208535,1.4133214044740376,-1.332856519156114,-0.050780758747514664,0.16073947129487073,0.2797921220679096,0.35080556865872176,4.444627983330736,9.201311856349312e-08,1.3916351823971203e-06,92013.11856349312,1391635.1823971202
1,7,"ARX(1,1)",True,True,0,-170.54812699172902,363.09625398345804,400.17327229286235,-170.54812699169386,363.0962539833877,400.173272292792,-170.54812699172902,363.09625398345804,400.17327229286235,-3.515765456540976e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,52.624996833694766,52.624996833694766,12.616001209322306,0.1664943716584568,0.8736120040939452,0.5428647732914725,0.17333346308497366,0.2625211699801794,9.026987703543154,4.185039945910427,5.866693578529529,26.80548867381023,0.08379872242754047,0.08882132479500547,0.6396408323319707,0.17896035378440348,1.081932848784938,-0.676747100762323,-0.05634788365192552,0.13974272045171526,0.26552416777899096,0.3141598314874067,1.9124065327916133,9.438553889066843e-08,1.4209992878353823e-06,94385.53889066844,1420999.2878353824
1,8,"ARX(1,1)",True,True,0,-172.48627182070305,366.9725436414061,404.0495619508104,-172.4862718206003,366.9725436412006,404.0495619506049,-172.48627182070305,366.9725436414061,404.0495619508104,-1.0274447959091049e-10,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,24.797771531856554,12.900624992918242,24.797771531856554,0.3091360967600822,0.8525033946219422,0.33442270927000517,0.2045790399314365,0.27409435311915503,5.603571447419059,0.9842440310121511,1.455133080860806,6.129384927662365,0.5157269027075072,0.5238924022238962,1.6426905423302638,0.21019446173078704,0.867028011768935,-0.24249912303496537,-0.030927676408490493,0.23088867541876526,0.20293550865501123,0.25356593560708046,0.6905478822771375,9.426119300612229e-08,1.4538952179150184e-06,94261.1930061223,1453895.2179150183
1,9,"ARX(1,1)",True,True,0,-171.1418198990034,364.2836397980068,401.3606581074111,-171.14181990508416,364.2836398101683,401.36065811957263,-171.1418198990034,364.2836397980068,401.3606581074111,6.0807678892160766e-09,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,82.52214244301256,82.52214244301256,16.60362818629073,0.1504716886064847,0.8823264864472581,0.6274566510011969,0.1721535311766912,0.26890055647423056,10.618309782177477,4.640769169356784,6.970684470954677,35.84985957956741,0.10764599944043393,0.11091297923357388,0.850756035883541,0.1763765693965573,1.1656376620496471,-0.7728352814990572,-0.07059281614582896,0.11347366759322276,0.26949342693932243,0.3100901773333617,2.0113614149940946,9.213267216740959e-08,1.4269361794633752e-06,92132.67216740959,1426936.1794633754
1,10,"ARX(1,1)",True,True,0,-170.5481401533732,363.0962803067464,400.1732986161507,-170.54814015335307,363.09628030670615,400.17329861611046,-170.5481401533732,363.0962803067464,400.1732986161507,-2.0122570276726037e-11,True,eligible,200.0,False,-150.0,True,True,True,True,True,,,52.619237447626176,52.619237447626176,12.589303626869043,0.1667948289092757,0.8734932507677673,0.5458167253487993,0.173536129606211,0.26308374581415855,9.072210979716074,4.17226189269015,5.84622823692097,26.771777897554344,0.08335895667825194,0.08842535793658625,0.6382507208673853,0.179152047937771,1.0834815386744348,-0.6826481798801542,-0.05682291801040617,0.13991527542188034,0.26791486552644095,0.3171025300634228,1.9357905709667402,9.439147125537684e-08,1.4210781734929947e-06,94391.47125537683,1421078.1734929946
