timestamp,seed,draw,random_state,mean_type,loglik,AIC,BIC,success,status,param_p0,param_n0,param_rho_p,param_phi_p_plus,param_phi_p_minus,param_sigma_p,param_sigma_n,param_c,param_rho_1,param_phi_1,param_rho_2,param_phi_2,stored_loglik,stored_AIC,stored_BIC,selection_cond_var_median,selection_p_t_q05,selection_p_t_median,selection_p_t_q95,selection_n_t_q05,selection_n_t_median,selection_n_t_q95,selection_cond_var_q05,selection_cond_var_q95,selection_cond_skewness_q05,selection_cond_skewness_median,selection_cond_skewness_q95,selection_cond_excess_kurtosis_q05,selection_cond_excess_kurtosis_median,selection_cond_excess_kurtosis_q95
2026-06-11T15:55:08,1,1,10001,"ARX(1,1)",-161.66568507060205,343.3313701412041,377.0377504224807,True,0,1.6238881353154535,1.609380546184661,0.000751352168953,1.5070833509986767,0.4546008020521478,0.0929655294659497,0.2674211366853992,0.0703569887749897,0.4462853473341419,0.4600260711840298,,,-161.66568506801332,343.33137013602664,377.0377504173032,0.16855649031686257,1.6800642633267877,6.186010030317091,118.01139445087244,1.609380546184661,1.609380546184661,1.609380546184661,0.12961344998251895,1.1350174024289765,-0.05885704702843055,-0.05161632630103837,0.12807877450425637,0.05013770473580522,0.052157117044216494,0.10227346761062078
2026-06-11T15:55:25,1,2,10002,"ARX(1,1)",-166.68010542137665,353.3602108427533,387.0665911240299,True,0,2.400656956873784,0.419357798713921,0.3115020226262206,0.5659490484999811,0.3259035274643986,0.1810756977451384,0.4838459847730373,0.1009469271679477,0.3279330984887044,0.6266264001884339,,,-166.68010542155025,353.3602108431005,387.0665911243771,0.26042930904991674,3.6142292093375765,4.948539671112402,19.077776548896203,0.419357798713921,0.419357798713921,0.419357798713921,0.21667939281175033,0.7237044969623462,-0.052086055724562715,-0.03624196250632803,0.13153379329217854,0.16121359404313287,0.16982053474702546,0.26096087088482306
2026-06-11T15:56:06,1,3,10003,"ARX(1,1)",-86.32384606588937,192.64769213177874,226.35407241305535,True,0,2.1291929713775533,1.824899728371282,0.606520694547727,0.7816752590114386,0.0044886523118959,0.0915244186293223,0.2524629003752998,0.0318247255129319,0.162993626555834,0.8196517313545307,,,-86.32384605965566,192.64769211931133,226.35407240058797,0.26117478960052026,6.137861698075466,17.293192035228717,207.36015432223334,1.824899728371282,1.824899728371282,1.824899728371282,0.16772971972231204,1.8533123629088453,-0.049318747981864204,-0.0322137365931054,0.25922519495678353,0.047065754189073876,0.05176233285808613,0.13178366918624942
2026-06-11T15:56:26,1,4,10004,"ARX(1,1)",-161.29853237188894,342.5970647437779,376.3034450250545,True,0,1.489202192927544,0.7611075669920013,0.4449387778150509,0.6151801068532169,0.3189251566609555,0.1664188583893498,0.3796692147585647,0.1207032189175504,0.3702732036834068,0.5478673392528626,,,-161.29853237321032,342.59706474642064,376.3034450276973,0.2611405977008121,3.0053810032253723,5.467652249066149,25.252456629129536,0.7611075669920013,0.7611075669920013,0.7611075669920013,0.19294741339833493,0.8090854326807699,-0.055605391094788244,-0.03290812733168269,0.1494685804637278,0.10872088038983793,0.12005263856189187,0.2111054090862526
2026-06-11T15:57:18,1,5,10005,"ARX(1,1)",-159.81322790595814,339.6264558119163,373.3328360931929,True,0,1.880525575153168,2.347242025539104,0.3248037919192935,0.7021891301794874,0.4232862185038775,0.1032815822764881,0.227250761780601,0.0949875773585583,0.322568874122751,0.5874694024991624,,,-159.81322790638689,339.62645581277377,373.3328360940504,0.21973500658227535,3.323830878668887,9.235568920345987,68.55590693380164,2.347242025539104,2.347242025539104,2.347242025539104,0.1566739929897276,0.8525101084911931,-0.04777013175724919,-0.03474404922965428,0.09596397827098381,0.03982967300025416,0.04386573624319651,0.08436493193271037
2026-06-11T15:57:47,1,6,10006,"ARX(1,1)",-163.79403069154012,347.58806138308023,381.29444166435684,True,0,5.309772139767673,0.4378465556388209,0.1578079755742803,1.0076188987402843,0.3958797341973513,0.1254141010022564,0.4789049544584792,0.0207720356997352,0.2333098829250884,0.7961450445318627,,,-163.79403069050989,347.58806138101977,381.2944416622964,0.24660908987994196,6.473316841183953,9.294412905124487,53.297141207856235,0.4378465556388209,0.4378465556388209,0.4378465556388209,0.20223692544344865,0.9387146586551812,-0.07064482108300449,-0.059515030858350276,0.1140845645548536,0.14779673318912684,0.15198423109523296,0.21729974267454016
2026-06-11T15:58:32,1,7,10007,"ARX(1,1)",-106.31876603360824,232.63753206721648,266.3439123484931,True,0,1.4358089075285725,1.9483434196989589,0.4749446067095753,0.6722249517517501,0.0994618194645127,0.1114577821959643,0.2795214189830933,0.2804477726867708,0.3951065669360206,0.2043328069580842,,,-106.31876603489624,232.63753206979248,266.3439123510691,0.26559070859849665,3.2400909699043305,9.12531516021809,77.76607941360795,1.9483434196989589,1.9483434196989589,1.9483434196989589,0.19247952652585115,1.1183037490285805,-0.07612959718220438,-0.05983197676711956,0.13025103190471002,0.07436386106091195,0.07981335094052303,0.14337204267961814
2026-06-11T15:58:52,1,8,10008,"ARX(1,1)",-104.07572485967837,228.15144971935675,261.8578300006334,True,0,2.0278199835294832,0.4750735634830814,0.6148068439526161,0.6797026436147229,3.721090712754779e-05,0.1235572687200146,0.3707527952110995,0.3300446119134572,0.158258675929263,0.3735630885666137,,,-104.07572485948276,228.1514497189655,261.85783000024213,0.23975709733984396,5.528881003191156,11.427358392567529,112.21767434063187,0.4750735634830814,0.4750735634830814,0.4750735634830814,0.149708590064674,1.7784622410202424,-0.027564185607175114,-0.0053118903847063845,0.37492451945246896,0.06158941705146752,0.06983771551278652,0.21078063231494296
2026-06-11T15:59:17,1,9,10009,"ARX(1,1)",-128.25673147314296,276.5134629462859,310.21984322756254,True,0,4.523154028486328,0.7199112078871601,0.4424978049887083,1.0724744238085229,0.0,0.073395067417424,0.2588344402185583,0.0988138156682865,0.1040822234581104,0.7879843591494441,,,-128.2567314633879,276.5134629267758,310.2198432080524,0.156454796380787,8.379272933779356,20.090486151045926,252.91989197776314,0.7199112078871601,0.7199112078871601,0.7199112078871601,0.093368412341087,1.4106686032017126,-0.01834172432004347,-0.00908126550061291,0.17502494831435877,0.02084624783977699,0.02288526383788214,0.06342272776263172
2026-06-11T15:59:36,1,10,10010,"ARX(1,1)",-156.9508646635873,333.9017293271746,367.60810960845123,True,0,1.4441605248244438,0.2395460584243654,0.5423748746666901,0.7682822092975191,0.1237760243878523,0.0905948550563675,0.5566330045591811,0.1395657183173195,0.2546099063548632,0.5873192174728642,,,-156.95086466368355,333.90172932736715,367.60810960864376,0.1846354856990386,4.123769832299008,13.452992321458606,130.6476414712977,0.2395460584243654,0.2395460584243654,0.2395460584243654,0.108066566037252,1.1465021027694664,-0.07649527797354295,-0.06262177761637855,0.11165855589772936,0.13964669413095787,0.1434172973929032,0.19078400205456117
